day,numbers,dayoff,work,outsidework,workfhome,dinner_t,Month,Date,bobd,soupd,maind,present
0,2644,210,303,63,0.0,378.0,11,24,65,223,238,2068
3,2644,132,262,402,0.0,483.0,11,27,65,159,91,1848
4,2644,112,265,347,0.0,517.0,11,28,95,233,29,1920
1,2644,97,267,256,0.0,511.0,11,30,33,80,428,2024
0,2665,243,268,136,0.0,381.0,12,01,65,193,271,2018
3,2665,117,206,868,0.0,625.0,12,04,65,31,333,1474
4,2665,60,225,871,0.0,571.0,12,05,96,116,155,1509
2,2665,78,254,0,0.0,414.0,12,06,65,160,72,2333
1,2665,98,270,608,0.0,509.0,12,07,8,225,394,1689
0,2665,169,304,141,0.0,407.0,12,08,65,149,63,2051
3,2665,93,219,748,0.0,536.0,12,11,65,121,264,1605
4,2665,73,237,604,0.0,641.0,12,12,12,184,194,1751
2,2665,67,246,0,0.0,430.0,12,13,65,147,91,2352
1,2665,105,266,309,0.0,405.0,12,14,32,41,258,1985
0,2665,208,288,48,0.0,426.0,12,15,65,202,143,2121
3,2665,140,230,156,0.0,418.0,12,18,65,62,5,2139
4,2665,109,269,146,0.0,345.0,12,19,44,83,101,2141
2,2665,108,262,0,0.0,396.0,12,20,65,17,46,2295
1,2665,127,262,102,0.0,380.0,12,21,79,120,362,2174
0,2665,239,270,34,0.0,482.0,12,22,65,285,336,2122
4,2665,267,227,62,0.0,176.0,12,26,65,243,120,2109
1,2665,240,260,55,0.0,245.0,12,28,65,197,392,2110
0,2665,489,242,5,0.0,209.0,12,29,65,223,340,1929
4,2655,73,102,301,0.0,432.0,01,02,65,56,334,2179
2,2655,60,207,0,0.0,441.0,01,03,65,282,219,2388
1,2655,67,226,326,0.0,435.0,01,04,24,184,239,2036
0,2655,152,246,58,0.0,509.0,01,05,65,191,284,2199
3,2655,100,194,377,0.0,554.0,01,08,65,47,143,1984
4,2655,70,215,298,0.0,349.0,01,09,33,200,400,2072
2,2655,58,210,0,0.0,423.0,01,10,65,159,349,2387
1,2655,73,238,337,0.0,430.0,01,11,65,138,226,2007
0,2655,163,266,59,0.0,398.0,01,12,65,172,432,2167
3,2655,112,192,443,0.0,480.0,01,15,65,93,57,1908
4,2655,73,216,405,0.0,523.0,01,16,14,175,55,1961
2,2655,70,223,0,0.0,466.0,01,17,65,253,221,2362
1,2655,98,233,325,0.0,472.0,01,18,73,264,119,1999
0,2655,224,275,77,0.0,419.0,01,19,65,166,91,2079
3,2655,103,211,371,0.0,492.0,01,22,65,62,13,1970
4,2655,66,230,297,0.0,488.0,01,23,8,219,422,2062
2,2655,51,224,0,0.0,274.0,01,24,65,17,299,2380
1,2655,57,225,261,0.0,513.0,01,25,68,233,269,2112
0,2655,166,262,43,0.0,418.0,01,26,65,160,198,2184
3,2655,70,192,454,0.0,689.0,01,29,65,243,160,1939
4,2655,60,216,433,0.0,689.0,01,30,76,148,294,1946
1,2707,73,254,401,0.0,620.0,02,01,121,225,108,1979
0,2707,153,278,88,0.0,503.0,02,02,65,179,349,2188
3,2707,76,213,560,0.0,673.0,02,05,65,240,74,1858
4,2707,50,235,491,0.0,601.0,02,06,22,264,302,1931
2,2707,59,253,0,0.0,540.0,02,07,65,171,164,2395
1,2707,71,273,378,0.0,543.0,02,08,65,197,328,1985
0,2707,149,296,86,0.0,518.0,02,09,65,3,333,2176
3,2707,103,244,476,0.0,541.0,02,12,65,223,5,1884
4,2707,106,235,371,0.0,552.0,02,13,39,51,159,1995
2,2707,418,159,0,0.0,0.0,02,14,65,158,46,2130
3,2707,255,171,604,0.0,657.0,02,19,65,256,173,1677
4,2707,82,231,521,0.0,609.0,02,20,118,2,101,1873
2,2707,74,243,0,0.0,522.0,02,21,65,211,40,2390
1,2707,82,277,400,0.0,578.0,02,22,0,30,327,1948
0,2707,161,304,69,0.0,522.0,02,23,65,56,131,2173
3,2707,105,231,491,0.0,585.0,02,26,65,159,96,1880
4,2707,81,263,332,0.0,438.0,02,27,90,10,310,2031
0,2714,840,206,57,0.0,349.0,03,02,65,254,124,1611
3,2714,92,211,593,0.0,687.0,03,05,65,253,122,1818
4,2714,54,242,547,0.0,671.0,03,06,8,225,420,1871
2,2714,41,238,0,0.0,600.0,03,07,65,67,221,2435
1,2714,38,268,406,0.0,553.0,03,08,50,219,269,2002
0,2714,123,294,77,0.0,580.0,03,09,65,149,63,2220
3,2714,69,217,591,0.0,663.0,03,12,65,54,13,1837
4,2714,39,249,556,0.0,639.0,03,13,12,184,266,1870
2,2714,56,245,0,0.0,464.0,03,14,65,256,335,2413
1,2714,47,270,359,0.0,489.0,03,15,79,120,219,2038
0,2714,135,302,75,0.0,487.0,03,16,65,253,91,2202
3,2714,80,224,503,0.0,559.0,03,19,65,128,36,1907
4,2714,46,246,445,0.0,571.0,03,20,73,2,176,1977
2,2714,45,263,0,0.0,482.0,03,21,65,191,131,2406
1,2714,56,290,327,0.0,492.0,03,22,49,175,332,2041
0,2714,174,307,51,0.0,454.0,03,23,65,125,238,2182
3,2714,125,226,448,0.0,604.0,03,26,65,283,255,1915
4,2714,52,258,408,0.0,599.0,03,27,8,41,84,1996
1,2714,51,273,302,0.0,523.0,03,29,96,116,208,2088
0,2714,196,296,43,0.0,466.0,03,30,65,172,140,2179
3,2714,83,224,481,0.0,586.0,04,02,65,223,74,1926
4,2714,56,266,438,0.0,486.0,04,03,32,225,433,1954
2,2714,64,267,0,0.0,519.0,04,04,65,171,138,2383
1,2714,69,285,378,0.0,569.0,04,05,42,36,381,1982
0,2714,220,295,49,0.0,394.0,04,06,65,160,137,2150
3,2714,118,221,523,0.0,588.0,04,09,65,151,57,1852
4,2714,66,256,420,0.0,522.0,04,10,39,148,362,1972
2,2714,23,239,0,0.0,540.0,04,11,65,40,156,2452
1,2714,40,268,384,0.0,535.0,04,12,121,61,92,2022
0,2714,164,292,45,0.0,444.0,04,13,65,182,203,2213
3,2714,84,234,484,0.0,599.0,04,16,65,239,333,1912
4,2714,39,261,413,0.0,537.0,04,17,103,25,319,2001
2,2714,49,268,0,0.0,456.0,04,18,65,256,262,2397
1,2714,98,288,285,0.0,499.0,04,19,95,79,195,2043
0,2714,194,303,42,0.0,409.0,04,20,65,153,91,2175
3,2714,89,235,440,0.0,569.0,04,23,65,243,140,1950
4,2714,60,274,360,0.0,587.0,04,24,117,175,194,2020
1,2714,69,293,266,0.0,483.0,04,26,76,212,409,2086
0,2714,205,304,40,0.0,380.0,04,27,65,160,350,2165
3,2714,646,180,107,0.0,317.0,04,30,65,223,419,1781
2,2721,110,247,0,0.0,535.0,05,02,65,202,253,2364
1,2721,102,296,332,0.0,436.0,05,03,8,225,420,1991
0,2721,241,284,57,0.0,440.0,05,04,65,4,264,2139
4,2721,133,231,590,0.0,625.0,05,08,65,144,228,1767
2,2721,86,269,0,0.0,413.0,05,09,65,56,309,2366
1,2721,80,291,369,0.0,441.0,05,10,44,83,219,1981
0,2721,183,296,48,0.0,445.0,05,11,65,40,333,2194
3,2721,100,229,490,0.0,536.0,05,14,65,54,46,1902
4,2721,64,272,457,0.0,620.0,05,15,73,2,245,1928
2,2721,58,264,0,0.0,472.0,05,16,65,15,13,2399
1,2721,71,278,343,0.0,473.0,05,17,32,23,67,2029
0,2721,145,302,29,0.0,399.0,05,18,65,191,191,2245
3,2721,861,144,139,0.0,234.0,05,21,65,254,27,1577
2,2721,89,246,0,0.0,477.0,05,23,65,267,133,2386
1,2721,64,281,379,0.0,494.0,05,24,111,208,411,1997
0,2721,136,293,70,0.0,432.0,05,25,65,158,93,2222
3,2721,92,221,495,0.0,594.0,05,28,65,15,261,1913
4,2721,73,258,422,0.0,552.0,05,29,41,233,66,1968
1,2721,90,283,242,0.0,525.0,05,31,103,212,326,2106
3,2728,180,291,55,0.0,395.0,06,01,65,256,156,2202
3,2728,158,215,519,0.0,564.0,06,04,65,160,2,1836
4,2728,163,233,253,0.0,526.0,06,05,95,225,236,2079
1,2728,187,265,379,0.0,475.0,06,07,65,232,131,1897
0,2728,252,288,65,0.0,458.0,06,08,65,186,101,2123
3,2728,153,195,490,0.0,557.0,06,11,65,105,98,1890
4,2728,156,234,249,0.0,441.0,06,12,65,15,309,2089
1,2728,190,260,381,0.0,464.0,06,14,50,219,175,1897
0,2728,234,295,44,0.0,442.0,06,15,65,182,124,2155
3,2728,87,229,335,0.0,485.0,06,18,65,253,430,2077
4,2728,68,247,415,0.0,537.0,06,19,31,83,258,1998
2,2728,73,257,0,0.0,448.0,06,20,65,67,333,2398
1,2728,72,282,329,0.0,550.0,06,21,8,225,154,2045
3,2728,104,240,424,0.0,537.0,06,25,65,172,221,1960
4,2728,71,243,384,0.0,583.0,06,26,76,252,283,2030
1,2728,83,286,234,0.0,449.0,06,28,65,195,85,2125
0,2728,210,299,12,0.0,371.0,06,29,65,131,254,2207
3,2704,96,209,130,0.0,609.0,07,02,65,206,11,2269
4,2704,71,220,232,0.0,528.0,07,03,121,2,119,2181
2,2704,94,237,0,0.0,488.0,07,04,65,72,351,2373
1,2704,93,270,234,0.0,509.0,07,05,32,192,209,2107
0,2704,194,289,36,0.0,389.0,07,06,65,122,5,2185
3,2704,139,228,300,0.0,519.0,07,09,65,54,13,2037
4,2704,96,251,292,0.0,524.0,07,10,45,83,219,2065
2,2704,95,255,1,0.0,435.0,07,11,65,105,389,2353
1,2704,102,270,244,0.0,487.0,07,12,49,46,22,2088
0,2704,200,302,29,0.0,394.0,07,13,65,170,419,2173
3,2704,150,199,318,0.0,529.0,07,16,65,62,74,2037
4,2704,111,256,307,0.0,451.0,07,17,118,1,159,2030
2,2704,108,254,0,0.0,407.0,07,18,65,154,320,2342
1,2704,113,285,265,0.0,554.0,07,19,8,25,154,2041
0,2704,273,291,49,0.0,394.0,07,20,65,40,116,2091
3,2704,224,223,341,0.0,515.0,07,23,65,94,334,1916
4,2704,201,232,392,0.0,526.0,07,24,12,219,395,1879
1,2704,272,265,299,0.0,484.0,07,26,32,212,409,1868
0,2704,403,271,59,0.0,388.0,07,27,65,239,264,1971
3,2704,487,193,401,0.0,436.0,07,30,65,278,343,1623
4,2704,433,228,287,0.0,494.0,07,31,10,39,380,1756
2,2996,489,209,0,0.0,395.0,08,01,65,158,71,2298
1,2996,548,229,209,0.0,425.0,08,02,69,225,433,2010
0,2996,665,242,34,0.0,367.0,08,03,65,251,309,2055
3,2996,504,158,333,0.0,522.0,08,06,65,182,98,2001
4,2996,469,206,366,0.0,534.0,08,07,33,111,245,1955
2,2996,470,235,0,0.0,421.0,08,08,65,223,46,2291
1,2996,491,227,271,0.0,509.0,08,09,65,196,195,2007
0,2996,562,254,30,0.0,467.0,08,10,65,172,113,2150
3,2996,575,184,297,0.0,465.0,08,13,65,253,94,1940
4,2996,551,217,153,0.0,393.0,08,14,4,83,430,2075
1,2996,481,228,228,0.0,488.0,08,16,103,252,326,2059
0,2996,530,245,30,0.0,482.0,08,17,65,128,145,2191
3,2996,204,206,475,0.0,563.0,08,20,65,275,164,2111
4,2996,168,237,355,0.0,629.0,08,21,113,1,411,2236
2,2996,147,238,0,0.0,536.0,08,22,65,172,303,2611
1,2996,132,263,289,0.0,577.0,08,23,32,41,239,2312
0,2996,219,284,46,0.0,529.0,08,24,65,182,320,2447
3,2996,138,226,492,0.0,560.0,08,27,65,239,386,2140
4,2996,104,243,376,0.0,593.0,08,28,44,83,66,2273
1,2996,106,264,304,0.0,556.0,08,30,73,118,179,2322
0,2996,216,289,70,0.0,424.0,08,31,65,283,336,2421
3,2763,122,233,393,0.0,577.0,09,03,65,62,334,2015
4,2763,91,262,404,0.0,604.0,09,04,26,2,393,2006
2,2763,93,269,0,0.0,425.0,09,05,65,223,36,2401
1,2763,106,283,280,0.0,538.0,09,06,17,225,119,2094
0,2763,164,303,56,0.0,467.0,09,07,65,256,243,2240
3,2763,99,243,343,0.0,535.0,09,10,65,243,6,2078
4,2763,67,272,370,0.0,570.0,09,11,8,25,154,2054
2,2763,73,300,0,0.0,435.0,09,12,65,96,333,2390
1,2763,67,306,297,0.0,571.0,09,13,65,257,274,2093
0,2763,174,313,132,0.0,375.0,09,14,65,61,419,2144
3,2763,91,252,465,0.0,522.0,09,17,65,73,320,1955
4,2763,67,289,446,0.0,597.0,09,18,76,212,283,1961
1,2763,93,277,385,0.0,468.0,09,20,13,220,416,2008
0,2763,260,241,51,0.0,247.0,09,21,65,171,191,2211
3,2805,424,233,216,0.0,442.0,10,08,65,240,299,1932
2,2805,80,232,1044,0.0,751.0,10,10,65,160,2,1449
1,2805,67,240,430,0.0,743.0,10,11,14,212,394,2068
0,2805,192,288,28,0.0,467.0,10,12,65,278,343,2297
3,2805,101,243,268,0.0,533.0,10,15,65,64,264,2193
4,2805,63,273,315,0.0,570.0,10,16,118,2,101,2154
2,2805,68,294,0,0.0,422.0,10,17,65,238,69,2443
1,2805,74,299,175,0.0,532.0,10,18,76,233,398,2257
0,2805,207,303,40,0.0,430.0,10,19,65,55,160,2255
3,2805,141,236,290,0.0,498.0,10,22,65,206,386,2138
4,2805,73,277,243,0.0,446.0,10,23,44,83,397,2212
2,2805,82,299,1,0.0,464.0,10,24,65,58,309,2423
1,2805,110,315,158,0.0,469.0,10,25,69,30,66,2222
0,2805,263,308,25,0.0,370.0,10,26,65,223,5,2209
3,2805,155,250,316,0.0,596.0,10,29,65,267,355,2084
4,2805,89,300,206,0.0,449.0,10,30,65,128,13,2210
1,2815,89,299,172,0.0,483.0,11,01,33,2,157,2255
0,2815,211,299,43,0.0,434.0,11,02,65,166,419,2262
3,2815,104,248,391,0.0,542.0,11,05,65,4,118,2072
4,2815,69,269,393,0.0,540.0,11,06,96,116,266,2084
2,2815,68,299,0,0.0,379.0,11,07,65,67,425,2448
1,2815,72,285,305,0.0,443.0,11,08,65,138,416,2153
0,2815,185,302,38,0.0,454.0,11,09,65,256,264,2290
3,2815,123,228,401,0.0,574.0,11,12,65,239,333,2063
4,2815,91,280,328,0.0,468.0,11,13,112,113,29,2116
2,2815,89,263,0,0.0,391.0,11,14,65,171,166,2463
1,2815,147,282,291,0.0,540.0,11,15,44,219,101,2095
0,2815,251,295,59,0.0,435.0,11,16,65,251,198,2210
3,2815,118,230,416,0.0,442.0,11,19,65,54,384,2051
4,2815,70,278,344,0.0,485.0,11,20,13,2,395,2123
2,2815,81,290,0,0.0,411.0,11,21,65,193,221,2444
1,2815,80,287,325,0.0,436.0,11,22,32,269,306,2123
0,2815,222,305,57,0.0,363.0,11,23,65,15,131,2231
3,2815,107,215,447,0.0,476.0,11,26,65,128,57,2046
4,2815,60,264,418,0.0,529.0,11,27,95,225,119,2073
1,2815,86,293,354,0.0,454.0,11,29,65,191,193,2082
0,2815,196,314,60,0.0,362.0,11,30,65,182,66,2245
3,2846,80,187,798,0.0,544.0,12,03,65,67,118,1781
4,2846,64,246,802,0.0,617.0,12,04,111,200,58,1734
2,2846,87,254,0,0.0,414.0,12,05,65,223,223,2505
1,2846,90,266,589,0.0,515.0,12,06,49,175,332,1901
0,2846,182,300,83,0.0,353.0,12,07,65,160,320,2281
3,2846,98,204,863,0.0,597.0,12,10,65,166,198,1681
4,2846,69,250,716,0.0,569.0,12,11,55,212,154,1811
2,2846,75,262,0,0.0,354.0,12,12,65,198,304,2509
1,2846,65,253,652,0.0,475.0,12,13,89,10,219,1876
0,2846,160,277,113,0.0,411.0,12,14,65,31,299,2296
3,2846,90,201,602,0.0,421.0,12,17,65,67,351,1953
4,2846,87,243,525,0.0,432.0,12,18,103,25,326,1991
2,2846,86,256,0,0.0,390.0,12,19,65,256,36,2504
1,2846,106,242,235,0.0,373.0,12,20,65,196,392,2263
0,2846,175,261,163,0.0,456.0,12,21,65,159,245,2247
3,2846,894,159,26,0.0,104.0,12,24,65,119,91,1767
1,2846,182,253,132,0.0,251.0,12,27,10,233,66,2279
0,2846,315,264,18,0.0,406.0,12,28,65,223,386,2249
3,2846,1085,132,28,0.0,135.0,12,31,65,75,435,1601
2,2985,108,129,0,0.0,407.0,01,02,65,128,161,2748
1,2985,120,207,444,0.0,494.0,01,03,53,212,67,2214
0,2985,218,234,65,0.0,482.0,01,04,65,131,196,2468
3,2985,113,211,439,0.0,407.0,01,07,65,117,166,2222
4,2985,98,223,444,0.0,417.0,01,08,32,225,333,2220
2,2985,85,225,0,0.0,335.0,01,09,65,55,320,2675
1,2985,94,243,363,0.0,475.0,01,10,26,1,393,2285
0,2985,177,251,1,0.0,430.0,01,11,65,271,94,2556
3,2985,99,186,487,0.0,573.0,01,14,65,31,57,2213
4,2985,71,223,417,0.0,569.0,01,15,33,261,159,2274
2,2985,80,228,0,0.0,356.0,01,16,65,67,131,2677
1,2985,71,247,326,0.0,515.0,01,17,73,118,179,2341
0,2985,196,276,1,0.0,386.0,01,18,65,54,425,2512
3,2985,114,199,468,0.0,579.0,01,21,65,239,351,2204
4,2985,73,230,436,0.0,564.0,01,22,96,116,155,2246
2,2985,86,224,0,0.0,392.0,01,23,65,178,119,2675
1,2985,91,241,401,0.0,520.0,01,24,14,175,55,2252
0,2985,186,267,1,0.0,431.0,01,25,65,256,91,2531
3,2985,94,203,426,0.0,511.0,01,28,65,122,303,2262
4,2985,61,219,385,0.0,278.0,01,29,8,41,283,2320
1,2985,96,218,325,0.0,524.0,01,31,65,197,328,2346
0,2806,283,180,2,0.0,171.0,02,01,65,240,252,2341
1,2806,392,101,447,0.0,553.0,02,07,65,191,304,1866
0,2806,373,190,3,0.0,532.0,02,08,65,156,419,2240
3,2806,67,159,758,0.0,772.0,02,11,65,67,98,1822
4,2806,51,240,648,0.0,649.0,02,12,44,2,219,1867
2,2806,61,231,0,0.0,497.0,02,13,65,17,117,2514
1,2806,73,239,605,0.0,578.0,02,14,95,212,380,1889
0,2806,159,278,1,0.0,450.0,02,15,65,223,397,2368
3,2806,104,195,728,0.0,678.0,02,18,65,185,124,1779
4,2806,62,228,663,0.0,653.0,02,19,13,2,395,1853
2,2806,65,241,0,0.0,472.0,02,20,65,93,6,2500
1,2806,81,269,540,0.0,620.0,02,21,33,112,243,1916
0,2806,178,301,1,0.0,478.0,02,22,65,198,91,2326
3,2806,122,214,752,0.0,645.0,02,25,65,253,160,1718
4,2806,109,239,644,0.0,566.0,02,26,76,233,66,1814
1,2806,254,271,116,0.0,464.0,02,28,65,153,351,2165
3,2836,213,172,708,0.0,658.0,03,04,65,27,256,1743
4,2836,67,230,736,0.0,646.0,03,05,8,111,154,1803
2,2836,56,238,0,0.0,443.0,03,06,65,160,320,2542
1,2836,45,265,589,0.0,637.0,03,07,41,51,157,1937
0,2836,130,300,4,0.0,542.0,03,08,65,170,268,2402
3,2836,81,205,690,0.0,707.0,03,11,65,67,336,1860
4,2836,59,244,642,0.0,653.0,03,12,73,116,179,1891
2,2836,61,244,0,0.0,442.0,03,13,65,162,289,2531
1,2836,62,286,417,0.0,530.0,03,14,64,181,152,2071
0,2836,174,304,4,0.0,466.0,03,15,65,52,156,2354
3,2836,107,217,607,0.0,619.0,03,18,65,122,91,1905
4,2836,72,248,553,0.0,627.0,03,19,17,30,417,1963
2,2836,77,261,0,0.0,412.0,03,20,65,54,36,2498
1,2836,81,260,457,0.0,470.0,03,21,49,175,269,2038
0,2836,168,295,3,0.0,466.0,03,22,65,240,309,2370
3,2836,111,232,585,0.0,555.0,03,25,65,172,221,1908
4,2836,83,252,525,0.0,541.0,03,26,82,83,11,1976
1,2836,84,282,522,0.0,597.0,03,28,103,212,326,1948
0,2836,239,301,1,0.0,402.0,03,29,65,160,66,2295
3,2822,126,197,611,0.0,577.0,04,01,65,4,232,1888
4,2822,67,253,514,0.0,491.0,04,02,33,34,398,1988
2,2822,59,283,0,0.0,411.0,04,03,65,128,131,2480
1,2822,60,288,429,0.0,462.0,04,04,65,138,414,2045
0,2822,185,303,1,0.0,436.0,04,05,65,243,160,2333
3,2822,104,222,592,0.0,607.0,04,08,65,24,91,1904
4,2822,69,239,578,0.0,590.0,04,09,96,116,155,1936
2,2822,64,245,0,0.0,350.0,04,10,65,223,70,2513
1,2822,52,248,434,0.0,524.0,04,11,39,148,358,2088
0,2822,155,288,0,0.0,435.0,04,12,65,122,119,2379
3,2822,113,178,609,0.0,647.0,04,15,65,239,5,1922
4,2822,54,234,552,0.0,607.0,04,16,0,257,194,1982
2,2822,57,263,0,0.0,472.0,04,17,65,256,8,2502
1,2822,76,281,458,0.0,528.0,04,18,10,233,391,2007
0,2822,230,294,1,0.0,412.0,04,19,65,15,124,2297
3,2822,109,253,533,0.0,494.0,04,22,65,251,95,1927
4,2822,60,272,576,0.0,567.0,04,23,65,162,36,1914
1,2822,85,294,452,0.0,500.0,04,25,114,220,235,1991
0,2822,215,297,0,0.0,392.0,04,26,65,170,333,2310
3,2822,152,252,544,0.0,564.0,04,29,65,95,223,1874
4,2822,152,298,290,0.0,430.0,04,30,8,225,302,2082
1,2825,247,303,384,0.0,423.0,05,02,52,116,207,1891
0,2825,348,276,1,0.0,420.0,05,03,65,283,134,2200
4,2825,135,271,606,0.0,590.0,05,07,65,253,91,1813
2,2825,81,296,0,0.0,423.0,05,08,65,223,57,2448
1,2825,92,286,538,0.0,531.0,05,09,83,83,258,1909
0,2825,166,302,0,0.0,438.0,05,10,65,193,156,2357
3,2825,119,231,599,0.0,507.0,05,13,65,128,40,1876
4,2825,76,256,601,0.0,587.0,05,14,32,30,34,1892
2,2825,69,284,0,0.0,368.0,05,15,65,172,203,2472
1,2825,72,283,482,0.0,521.0,05,16,26,175,414,1988
0,2825,224,291,1,0.0,362.0,05,17,65,54,193,2309
3,2825,100,223,602,0.0,516.0,05,20,65,77,46,1900
4,2825,64,279,563,0.0,567.0,05,21,103,110,326,1919
2,2825,60,272,0,0.0,405.0,05,22,65,124,52,2493
1,2825,61,302,447,0.0,509.0,05,23,118,169,400,2015
0,2825,193,307,0,0.0,328.0,05,24,65,15,142,2325
3,2825,86,212,644,0.0,550.0,05,27,65,68,256,1883
4,2825,54,229,632,0.0,590.0,05,28,76,2,301,1910
1,2825,73,258,517,0.0,527.0,05,30,60,116,404,1977
0,2825,179,291,0,0.0,378.0,05,31,65,107,91,2355
3,2758,87,225,702,0.0,572.0,06,03,65,166,230,1744
4,2758,65,251,592,0.0,486.0,06,04,95,212,101,1850
2,2758,144,247,0,0.0,502.0,06,05,65,67,138,2367
0,2758,890,219,3,0.0,244.0,06,07,65,68,92,1646
3,2758,114,236,673,0.0,568.0,06,10,65,186,221,1735
4,2758,55,267,624,0.0,555.0,06,11,10,245,154,1812
2,2758,60,278,0,0.0,359.0,06,12,65,93,13,2420
1,2758,65,288,507,0.0,520.0,06,13,73,2,433,1898
0,2758,193,295,4,0.0,373.0,06,14,65,65,198,2266
3,2758,95,240,640,0.0,534.0,06,17,65,254,160,1783
4,2758,65,264,558,0.0,491.0,06,18,40,219,400,1871
2,2758,78,260,0,0.0,420.0,06,19,65,67,91,2420
1,2758,90,291,444,0.0,419.0,06,20,65,138,333,1933
0,2758,188,294,0,0.0,381.0,06,21,65,160,190,2276
3,2758,101,213,692,0.0,540.0,06,24,65,152,317,1752
4,2758,67,265,573,0.0,472.0,06,25,86,233,46,1853
1,2758,85,280,478,0.0,501.0,06,27,49,203,258,1915
0,2758,229,288,2,0.0,373.0,06,28,65,178,119,2239
3,2760,115,218,512,0.0,512.0,07,01,65,237,36,1915
4,2760,87,237,490,0.0,504.0,07,02,17,212,245,1946
2,2760,82,265,0,0.0,324.0,07,03,65,17,117,2413
1,2760,95,309,434,0.0,565.0,07,04,39,46,423,1922
0,2760,210,289,0,0.0,371.0,07,05,65,122,156,2261
3,2760,155,277,536,0.0,465.0,07,08,65,253,419,1792
4,2760,75,275,466,0.0,472.0,07,09,32,225,380,1944
2,2760,123,286,0,0.0,326.0,07,10,65,223,6,2351
1,2760,102,301,371,0.0,475.0,07,11,65,72,309,1986
0,2760,244,306,0,0.0,385.0,07,12,65,67,256,2210
3,2760,144,232,396,0.0,453.0,07,15,65,173,321,1988
4,2760,100,227,426,0.0,477.0,07,16,76,252,154,2007
2,2760,96,259,0,0.0,274.0,07,17,65,68,141,2405
1,2760,113,274,310,0.0,455.0,07,18,65,135,313,2063
0,2760,236,291,0,0.0,367.0,07,19,65,40,299,2233
3,2760,223,218,438,0.0,503.0,07,22,65,185,314,1881
4,2760,206,246,449,0.0,516.0,07,23,8,83,422,1859
2,2760,224,252,0,0.0,322.0,07,24,65,67,104,2284
1,2760,276,279,347,0.0,370.0,07,25,114,220,219,1858
0,2760,396,280,1,0.0,336.0,07,26,65,86,127,2083
3,2760,475,183,424,0.0,431.0,07,29,65,105,203,1678
4,2760,434,213,382,0.0,457.0,07,30,12,219,395,1731
1,3305,546,219,285,0.0,463.0,08,01,95,194,119,2255
0,3305,687,237,2,0.0,274.0,08,02,65,93,36,2379
3,3305,462,183,392,0.0,445.0,08,05,65,223,74,2268
4,3305,427,203,392,0.0,513.0,08,06,118,116,159,2283
2,3305,421,233,1,0.0,304.0,08,07,65,251,131,2650
1,3305,430,254,364,0.0,482.0,08,08,68,25,101,2257
0,3305,496,261,3,0.0,401.0,08,09,65,185,147,2545
3,3305,394,208,424,0.0,527.0,08,12,65,134,304,2279
4,3305,345,254,411,0.0,519.0,08,13,84,219,64,2295
2,3305,430,246,2,0.0,421.0,08,14,65,143,321,2627
0,3305,1026,208,7,0.0,313.0,08,16,65,273,124,2064
3,3305,264,212,569,0.0,530.0,08,19,65,254,299,2260
4,3305,205,255,534,0.0,534.0,08,20,76,46,415,2311
2,3305,214,265,0,0.0,423.0,08,21,65,134,250,2826
1,3305,178,275,468,0.0,514.0,08,22,33,34,398,2384
0,3305,268,295,2,0.0,393.0,08,23,65,9,138,2740
3,3305,162,230,596,0.0,547.0,08,26,65,93,117,2317
4,3305,118,266,550,0.0,516.0,08,27,39,148,362,2371
1,3305,132,289,435,0.0,550.0,08,29,73,2,258,2449
0,3305,253,305,1,0.0,385.0,08,30,65,73,162,2746
3,3111,137,213,564,0.0,609.0,09,02,65,253,403,2197
4,3111,103,254,460,0.0,573.0,09,03,49,175,375,2294
2,3111,102,270,0,0.0,412.0,09,04,65,240,119,2739
1,3111,118,292,391,0.0,557.0,09,05,8,28,302,2310
0,3111,214,301,0,0.0,349.0,09,06,65,15,255,2596
3,3111,148,217,523,0.0,612.0,09,09,65,287,91,2223
4,3111,142,238,401,0.0,541.0,09,10,16,257,400,2330
2,3111,426,135,0,0.0,123.0,09,11,65,267,46,2550
3,3111,259,180,631,0.0,687.0,09,16,65,240,372,2041
4,3111,75,241,606,0.0,640.0,09,17,92,116,155,2189
2,3111,71,250,0,0.0,418.0,09,18,65,162,261,2790
1,3111,80,290,441,0.0,480.0,09,19,65,149,63,2300
0,3111,182,302,2,0.0,415.0,09,20,65,189,299,2625
3,3111,114,214,569,0.0,595.0,09,23,65,223,36,2214
4,3111,71,265,631,0.0,570.0,09,24,65,105,98,2144
1,3111,75,312,542,0.0,474.0,09,26,45,10,66,2182
0,3111,177,309,2,0.0,368.0,09,27,65,178,117,2623
3,3111,283,231,366,0.0,516.0,09,30,65,124,320,2231
2,3121,244,217,310,0.0,743.0,10,02,65,193,264,2350
0,3121,268,231,428,0.0,755.0,10,04,65,166,411,2194
3,3121,193,215,447,0.0,492.0,10,07,65,54,13,2266
4,3121,214,262,247,0.0,521.0,10,08,12,148,34,2398
1,3121,284,269,398,0.0,546.0,10,10,95,225,266,2170
0,3121,389,285,3,0.0,312.0,10,11,65,160,397,2444
3,3121,152,237,529,0.0,601.0,10,14,65,240,351,2203
4,3121,112,260,534,0.0,550.0,10,15,68,220,402,2215
2,3121,116,278,1,0.0,334.0,10,16,65,67,69,2726
1,3121,144,301,364,0.0,479.0,10,17,63,78,96,2312
0,3121,332,300,2,0.0,345.0,10,18,65,128,430,2487
